timestamp,ticker,title,event_ticker,category,status,close_time,yes_bid,yes_ask,no_bid,no_ask,volume,open_interest,last_trade_price
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S2025C9AD57F8657-3C5E0D23B1F,"yes LeBron James: 6+,yes Josh Hart: 4+,yes Anthony Edwards: 25+,yes Cooper Flagg: 15+,yes Luka Dončić: 30+,yes Jalen Brunson: 20+,yes Karl-Anthony Towns: 15+,yes LaMelo Ball: 15+,yes Miles Bridges: 10+,yes Purdue,yes Kentucky,yes St. John's,yes UConn,yes Duke,yes Seattle,yes Cooper Kupp: 20+,yes New England wins by over 3.5 points,yes Over 47.5 points scored,yes Ty Cole Miller,yes Ateba Gautier,yes Umar Nurmagomedov,yes Natalia Silva",KXMVESPORTSMULTIGAMEEXTENDED-S2025C9AD57F8657,,active,2026-02-08T01:30:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S20259FE06C82B9F-1792A56C6CD,"yes Kentucky,yes New England,yes Rhamondre Stevenson,yes Drake Maye: 200+",KXMVESPORTSMULTIGAMEEXTENDED-S20259FE06C82B9F,,active,2026-02-07T17:00:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVENBASINGLEGAME-S20255BD6546A053-E0AE0A11823,"yes Donovan Mitchell: 2+,yes Paolo Banchero: 2+,yes Donovan Mitchell: 25+,yes Evan Mobley: 15+,yes Desmond Bane: 15+,yes Paolo Banchero: 20+,yes Donovan Mitchell: 2+,yes Evan Mobley: 6+,yes Paolo Banchero: 6+",KXMVENBASINGLEGAME-S20255BD6546A053,,active,2026-02-08T00:00:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S202540E33ADDC34-F395AEAE258,"yes Minnesota,yes Cooper Flagg: 15+,yes Luka Dončić: 35+,yes LeBron James: 20+,yes Matthew Stafford: 200+,yes Courtland Sutton: 40+,yes Hunter Henry: 30+,yes Kayshon Boutte: 20+,yes Rhamondre Stevenson: 10+,yes Drake Maye: 20+",KXMVESPORTSMULTIGAMEEXTENDED-S202540E33ADDC34,,active,2026-02-07T22:30:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S202523FFAEEB53D-95CE93996EE,"yes Stephen Curry: 25+,yes Anthony Edwards: 20+,yes Jalen Brunson: 20+,yes Karl-Anthony Towns: 10+,yes Tyrese Maxey: 25+,yes Miles Bridges: 10+,yes Anthony Edwards: 2+,yes Mikal Bridges: 2+,yes Kon Knueppel: 2+,yes LaMelo Ball: 2+",KXMVESPORTSMULTIGAMEEXTENDED-S202523FFAEEB53D,,active,2026-02-07T22:30:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S2025F0E85C34C2E-9482F0254B3,"yes Kyren Williams,yes Tutu Atwell,yes Kenneth Walker III,yes Los Angeles R,yes Sam Darnold: 1+,yes Matthew Stafford: 175+,yes Sam Darnold: 175+,yes Tyler Higbee: 1+,yes AJ Barner: 1+,yes Kyren Williams: 10+,yes Cooper Kupp: 20+,yes Jaxon Smith-Njigba: 80+,yes Rashid Shaheed: 10+,yes Blake Corum: 20+,yes Kyren Williams: 50+,yes Over 47.5 points scored",KXMVESPORTSMULTIGAMEEXTENDED-S2025F0E85C34C2E,,active,2026-02-08T23:30:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S202546BBE3704EC-D55AF21BDD6,"yes Josh Hart: 4+,yes LaMelo Ball: 6+,yes Stephen Curry: 25+,yes Anthony Edwards: 25+,yes Rudy Gobert: 10+,yes Jalen Brunson: 25+,yes Kon Knueppel: 15+,yes LaMelo Ball: 20+,yes Rudy Gobert: 10+,yes Josh Hart: 6+",KXMVESPORTSMULTIGAMEEXTENDED-S202546BBE3704EC,,active,2026-02-07T20:00:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S2025C484CC12B47-5D5E1C659AF,"yes Seton Hall,yes Iowa St.,yes San Diego St.,yes BYU,yes Purdue wins by over 1.5 Points,yes Nebraska wins by over 8.5 Points",KXMVESPORTSMULTIGAMEEXTENDED-S2025C484CC12B47,,active,2026-02-07T22:00:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S2025A1F665C56A2-C37F8DC9E98,"yes Anthony Edwards: 20+,yes Julius Randle: 20+,yes Rudy Gobert: 10+,yes Cooper Flagg: 15+,yes Luka Dončić: 30+,yes LeBron James: 20+",KXMVESPORTSMULTIGAMEEXTENDED-S2025A1F665C56A2,,active,2026-02-07T22:30:00Z,0,0,100,100,0,0,
1769246875.549026,KXMVESPORTSMULTIGAMEEXTENDED-S20250B325A38EF8-218F52FE765,"yes Anthony Edwards: 20+,yes Rudy Gobert: 10+,yes Cooper Flagg: 15+,yes Luka Dončić: 30+,yes LeBron James: 20+",KXMVESPORTSMULTIGAMEEXTENDED-S20250B325A38EF8,,active,2026-02-07T22:30:00Z,0,0,100,100,0,0,
